type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.383918309	36.718460686	1767.9				
T	-1.382902860	36.718581588	1771.1				
T	-1.380873668	36.718818295	1780.2				
T	-1.379950800	36.718895913	1777.8				
T	-1.378923726	36.718981154	1774.6				
T	-1.378110217	36.719069601	1774.8				
T	-1.377200418	36.719179708	1778.9				
T	-1.376286714	36.719280391	1781.2				
T	-1.375267813	36.719384297	1782.9				
T	-1.374356822	36.719488258	1785.6				
T	-1.373448716	36.719595692	1794.5				
T	-1.372440806	36.719715246	1799.2				
T	-1.371526712	36.719811101	1802.6				
T	-1.370611109	36.719904647	1805.9				
T	-1.369492058	36.720018968	1803.9				
T	-1.368560897	36.720092396	1796.6				
T	-1.367519886	36.720168386	1788.9				
T	-1.366646625	36.720313337	1804.5				
T	-1.365735665	36.720322018	1815.3				
T	-1.364813234	36.720316896	1820.5				
T	-1.363981866	36.720199281	1822.7				
T	-1.363162324	36.720184512	1822.9				
T	-1.362448280	36.720163210	1826.9				
T	-1.361743119	36.720150321	1834.0				
T	-1.361039857	36.720138727	1838.8				
T	-1.360527577	36.720094154	1841.6				
T	-1.360305308	36.719913130	1842.2				
T	-1.361197083	36.719707626	1836.5				
T	-1.362076490	36.719488580	1830.2				
T	-1.363080480	36.719372334	1825.7				
T	-1.364282907	36.719138797	1817.1				
T	-1.365461842	36.718876687	1803.2				
T	-1.366453838	36.718741361	1791.1				
T	-1.367690736	36.718635416	1798.4				
T	-1.368834995	36.718554054	1810.3				
T	-1.369952625	36.718438206	1808.9				
T	-1.370867549	36.718344087	1806.9				
T	-1.371782522	36.718249966	1804.8				
T	-1.373579483	36.718003924	1784.6				
T	-1.374401158	36.717932396	1786.1				
T	-1.375222235	36.717861045	1790.0				
T	-1.376144978	36.717860855	1787.7				
T	-1.377068223	36.717860674	1786.0				
T	-1.378213219	36.717958280	1787.5				
T	-1.379465590	36.718061210	1789.1				
T	-1.380902939	36.718094808	1785.0				
T	-1.382330702	36.718021755	1773.3				
T	-1.384276418	36.717917675	1774.8				
T	-1.385822440	36.717894512	1776.8				
T	-1.387460051	36.717807391	1779.5				
T	-1.389519126	36.717788556	1767.3				
T	-1.391896588	36.717864653	1771.2				
T	-1.394274425	36.717918337	1766.3				
T	-1.398617144	36.718116000	1777.4				
T	-1.400490079	36.718350587	1776.2				
T	-1.401856674	36.718622629	1781.0				
T	-1.402683838	36.718637175	1783.5				
T	-1.403000591	36.718706346	1783.1				
T	-1.399943601	36.719014579	1774.3				
T	-1.397398662	36.719254654	1774.2				
T	-1.394350617	36.719647020	1764.8				
T	-1.391421417	36.720252844	1763.2				
T	-1.388889632	36.720714079	1756.4				
T	-1.386579424	36.721297729	1767.9				
T	-1.384038340	36.721651289	1772.1				
T	-1.381720931	36.722115841	1777.4				
T	-1.379193695	36.722500061	1790.9				
T	-1.375555140	36.723088713	1794.8				
T	-1.374031188	36.723248805	1797.8				
T	-1.372697170	36.723368678	1795.6				
T	-1.371459619	36.723473222	1785.4				
T	-1.370330092	36.723577036	1776.9				
T	-1.369536542	36.723686023	1789.8				
T	-1.368944147	36.723769740	1802.0				
T	-1.368542056	36.723816818	1809.0				
T	-1.369044699	36.723757965	1800.2				
T	-1.370131550	36.723604312	1778.2				
T	-1.371651292	36.723259905	1792.7				
T	-1.373492119	36.722996429	1797.8				
T	-1.375819044	36.722650334	1793.2				
T	-1.378562942	36.722360748	1793.0				
T	-1.381304533	36.722059888	1778.5				
T	-1.383540547	36.721811447	1774.0				
T	-1.385069420	36.721652278	1772.9				
T	-1.386193177	36.721547529	1771.4				
T	-1.387006956	36.721453473	1767.4				
T	-1.387719243	36.721369167	1762.2				
T	-1.388452904	36.721488895	1757.4				
T	-1.389014511	36.721939394	1753.8				
T	-1.389025214	36.722044569	1754.0				
T	-1.386683294	36.722317230	1778.1				
T	-1.384750443	36.722532576	1781.5				
T	-1.382709802	36.722732626	1781.2				
T	-1.380790122	36.723048211	1787.6				
T	-1.378766558	36.723364853	1792.0				
T	-1.376956182	36.723759070	1795.1				
T	-1.375636259	36.723900271	1795.2				
T	-1.373398900	36.724132070	1791.6				
T	-1.372664124	36.724174643	1781.3				
T	-1.371724649	36.724239972	1771.9				
T	-1.371231446	36.724312986	1771.4				
T	-1.371032155	36.724339302	1771.9				
T	-1.370036977	36.724471209	1791.9				
T	-1.369534270	36.724530301	1798.9				
T	-1.369130463	36.724575471	1803.8				
T	-1.368730931	36.724625233	1807.2				
T	-1.367724659	36.724740348	1810.7				
T	-1.366919805	36.724831940	1814.9				
T	-1.366718681	36.724854836	1816.4				
T	-1.366495482	36.724673055	1816.2				
T	-1.367500436	36.724557533	1811.0				
T	-1.369209213	36.724358939	1802.1				
T	-1.371304604	36.724088606	1772.1				
T	-1.374702097	36.723794292	1797.0				
T	-1.377444086	36.723502581	1794.9				
T	-1.380292609	36.723205437	1787.7				
T	-1.382730601	36.722936620	1781.7				
T	-1.385891770	36.722620267	1783.6				
T	-1.387417217	36.722444372	1774.8				
T	-1.388639022	36.722302253	1757.8				
T	-1.389657932	36.722178016	1751.8				
T	-1.390689293	36.722168847	1753.3				
T	-1.391619068	36.722180013	1753.4				
T	-1.392650771	36.722181149	1752.8				
T	-1.393601081	36.722395001	1752.2				
T	-1.394632304	36.722397171	1754.9				
T	-1.395459037	36.722420068	1757.5				
T	-1.396298294	36.722530662	1755.1				
T	-1.397138204	36.722641318	1750.7				
T	-1.397873282	36.722777027	1752.9				
T	-1.398596515	36.722815316	1759.9				
T	-1.399217538	36.722862666	1765.8				
T	-1.400449276	36.722851629	1768.5				
T	-1.401067974	36.722902857	1768.5				
T	-1.401883661	36.722820540	1770.0				
T	-1.401975871	36.722706485	1770.5				
T	-1.401546381	36.722545876	1770.6				
T	-1.399684061	36.722410166	1768.0				
T	-1.398024549	36.722249582	1755.6				
T	-1.393773866	36.722070935	1754.4				
T	-1.391383580	36.721895989	1754.0				
T	-1.388698291	36.721873062	1756.0				
T	-1.385999728	36.721670594	1773.6				
T	-1.383642317	36.721800371	1773.8				
T	-1.381384762	36.721843216	1776.1				
